Order_No,Time from Pickup to Arrival
Order_No_19248,1704.14
Order_No_12736,1302.34
Order_No_768,1402.3
Order_No_15332,1105.75
Order_No_21373,1186.75
Order_No_14573,2140.88
Order_No_6731,2394.45
Order_No_18436,1762.94
Order_No_2288,1493.15
Order_No_9063,2256.14
Order_No_4814,957.96
Order_No_16747,2711.5
Order_No_6376,1618.54
Order_No_1199,1760.11
Order_No_17119,1376.5
Order_No_14832,1256.02
Order_No_12321,1141.88
Order_No_24820,1951.3
Order_No_6065,1226.8
Order_No_13176,646.27
Order_No_23557,964.17
Order_No_20488,2163.17
Order_No_24214,1369.56
Order_No_21206,1916.49
Order_No_1930,625.99
Order_No_28180,2020.0
Order_No_13329,425.13
Order_No_19004,976.05
Order_No_27510,2150.38
Order_No_25394,1787.13
Order_No_11299,2105.47
Order_No_21269,1561.73
Order_No_3565,2711.58
Order_No_6473,1283.61
Order_No_6258,270.99
Order_No_27480,2274.39
Order_No_23302,2499.15
Order_No_16731,2183.83
Order_No_21353,1773.35
Order_No_10610,1093.72
Order_No_5930,1557.02
Order_No_5171,2017.87
Order_No_21590,1729.4
Order_No_643,1460.38
Order_No_6308,1250.01
Order_No_16885,1723.77
Order_No_5421,1946.48
Order_No_21864,2542.41
Order_No_11618,1584.08
Order_No_27514,2443.6
Order_No_26356,1698.09
Order_No_20174,1160.17
Order_No_23193,2387.67
Order_No_17568,1154.15
Order_No_25549,1647.35
Order_No_23942,1246.98
Order_No_25817,1641.46
Order_No_16582,2669.04
Order_No_25259,2262.63
Order_No_7311,1361.54
Order_No_6198,1460.05
Order_No_18810,1517.1
Order_No_26162,1387.05
Order_No_4192,1291.45
Order_No_28224,924.78
Order_No_15612,651.26
Order_No_21556,2087.26
Order_No_15698,2283.8
Order_No_2619,1974.78
Order_No_10710,1406.88
Order_No_17906,1404.74
Order_No_24831,1386.12
Order_No_15312,2950.89
Order_No_17599,1312.13
Order_No_8759,416.0
Order_No_18102,2013.71
Order_No_19596,1836.08
Order_No_18174,1215.99
Order_No_18641,2537.49
Order_No_7568,724.03
Order_No_23561,1439.9
Order_No_21212,705.63
Order_No_19352,2901.36
Order_No_13038,2194.01
Order_No_14688,1518.45
Order_No_5155,980.96
Order_No_26963,1065.75
Order_No_25662,2286.86
Order_No_22324,1188.56
Order_No_4080,1347.33
Order_No_2551,1493.7
Order_No_6576,1700.79
Order_No_23150,1686.53
Order_No_12488,1824.99
Order_No_14209,666.91
Order_No_14944,1797.87
Order_No_105,1496.98
Order_No_6400,2009.1
Order_No_23670,771.42
Order_No_11927,2268.41
Order_No_672,2301.15
Order_No_24305,1259.22
Order_No_23438,625.62
Order_No_11297,2529.28
Order_No_25875,951.73
Order_No_2483,1558.99
Order_No_22525,2427.87
Order_No_85,1559.09
Order_No_25252,1656.52
Order_No_16007,2397.23
Order_No_10988,1443.86
Order_No_15321,2612.82
Order_No_16080,624.31
Order_No_11090,1311.95
Order_No_21090,1285.51
Order_No_1621,1511.46
Order_No_24456,2062.28
Order_No_5036,1366.73
Order_No_15675,2223.62
Order_No_5672,1516.7
Order_No_4333,300.67
Order_No_20768,1377.34
Order_No_12336,1802.24
Order_No_12293,1678.35
Order_No_6103,1457.71
Order_No_25920,762.57
Order_No_2159,1625.88
Order_No_13215,676.59
Order_No_15620,2113.21
Order_No_27406,913.05
Order_No_3092,3124.49
Order_No_21088,659.78
Order_No_6448,1411.68
Order_No_23769,1480.76
Order_No_2640,1535.0
Order_No_19108,2151.01
Order_No_2796,2262.77
Order_No_16473,1329.17
Order_No_2754,1571.93
Order_No_2678,1472.14
Order_No_12053,2147.48
Order_No_17071,1455.9
Order_No_4656,1141.4
Order_No_27607,1453.82
Order_No_6709,1716.46
Order_No_25036,1012.88
Order_No_16694,858.47
Order_No_24366,2363.64
Order_No_9590,1967.47
Order_No_5658,1506.97
Order_No_13152,637.87
Order_No_27538,1323.13
Order_No_2782,1574.74
Order_No_1311,204.32
Order_No_10249,2677.45
Order_No_2624,2292.69
Order_No_27601,1155.28
Order_No_4252,1542.92
Order_No_22149,1800.42
Order_No_2699,2668.58
Order_No_12371,1973.81
Order_No_14848,980.9
Order_No_10438,1483.75
Order_No_23513,1552.36
Order_No_9878,1545.35
Order_No_9218,1246.25
Order_No_28256,1461.19
Order_No_25676,712.8
Order_No_26922,1434.87
Order_No_7589,943.77
Order_No_124,1701.85
Order_No_14779,1703.6
Order_No_26218,1267.78
Order_No_19977,1163.79
Order_No_14440,1561.23
Order_No_9561,1222.8
Order_No_9009,900.02
Order_No_20146,1271.97
Order_No_7718,1242.11
Order_No_16083,1183.01
Order_No_3126,907.82
Order_No_801,1318.51
Order_No_5373,1560.89
Order_No_7421,549.17
Order_No_602,2697.38
Order_No_9418,1571.13
Order_No_27144,1388.17
Order_No_16792,243.52
Order_No_21252,1445.54
Order_No_21129,1743.09
Order_No_18774,1859.42
Order_No_20974,1587.97
Order_No_5267,1005.56
Order_No_25107,1353.59
Order_No_611,2435.43
Order_No_13596,1893.08
Order_No_465,592.87
Order_No_2236,2451.99
Order_No_3411,589.86
Order_No_17613,1109.73
Order_No_27381,1878.83
Order_No_26072,1900.17
Order_No_19414,1920.72
Order_No_21954,2587.26
Order_No_22538,1554.5
Order_No_10756,1896.17
Order_No_23756,1872.05
Order_No_3807,2085.13
Order_No_18694,1633.85
Order_No_27245,1072.49
Order_No_12437,823.1
Order_No_27751,1437.1
Order_No_22832,1515.33
Order_No_3904,1269.49
Order_No_5230,660.11
Order_No_13968,678.03
Order_No_23129,508.01
Order_No_25454,1714.79
Order_No_25963,1467.75
Order_No_13552,1406.42
Order_No_2495,1968.17
Order_No_5081,1239.48
Order_No_2922,1469.57
Order_No_2016,1648.88
Order_No_1104,1615.25
Order_No_27980,843.1
Order_No_26414,2166.58
Order_No_22882,2480.9
Order_No_18730,2346.49
Order_No_22573,1597.37
Order_No_3483,1479.34
Order_No_23613,1530.79
Order_No_13591,1564.21
Order_No_11271,1385.67
Order_No_26896,1719.18
Order_No_8184,808.3
Order_No_19027,2887.98
Order_No_1146,1743.39
Order_No_192,1013.17
Order_No_14758,736.41
Order_No_23931,1644.86
Order_No_9924,1849.06
Order_No_21201,1504.33
Order_No_12726,956.42
