Order_No,Time from Pickup to Arrival
Order_No_19248,1666.72
Order_No_12736,1420.06
Order_No_768,1065.77
Order_No_15332,1289.78
Order_No_21373,1034.09
Order_No_14573,2271.13
Order_No_6731,2521.88
Order_No_18436,1871.38
Order_No_2288,1543.3
Order_No_9063,2167.44
Order_No_4814,970.28
Order_No_16747,2887.39
Order_No_6376,1722.72
Order_No_1199,1590.91
Order_No_17119,1355.5
Order_No_14832,1369.64
Order_No_12321,1172.78
Order_No_24820,1699.33
Order_No_6065,1287.75
Order_No_13176,470.79
Order_No_23557,1012.76
Order_No_20488,1660.37
Order_No_24214,1423.22
Order_No_21206,1966.76
Order_No_1930,584.57
Order_No_28180,2171.38
Order_No_13329,407.65
Order_No_19004,1090.59
Order_No_27510,2377.51
Order_No_25394,1913.11
Order_No_11299,2147.27
Order_No_21269,1445.9
Order_No_3565,3057.56
Order_No_6473,1279.12
Order_No_6258,67.66
Order_No_27480,1838.6
Order_No_23302,2651.4
Order_No_16731,1911.69
Order_No_21353,1711.43
Order_No_10610,1019.61
Order_No_5930,1471.53
Order_No_5171,1866.72
Order_No_21590,1760.66
Order_No_643,1337.6
Order_No_6308,1358.36
Order_No_16885,1825.9
Order_No_5421,1640.28
Order_No_21864,2396.62
Order_No_11618,1423.88
Order_No_27514,2524.51
Order_No_26356,1752.15
Order_No_20174,755.42
Order_No_23193,2397.61
Order_No_17568,1103.12
Order_No_25549,1198.64
Order_No_23942,1100.43
Order_No_25817,1503.78
Order_No_16582,2389.29
Order_No_25259,2599.07
Order_No_7311,1459.44
Order_No_6198,1536.15
Order_No_18810,1460.95
Order_No_26162,1224.08
Order_No_4192,1314.37
Order_No_28224,769.47
Order_No_15612,444.12
Order_No_21556,2047.53
Order_No_15698,2431.01
Order_No_2619,1902.48
Order_No_10710,1658.27
Order_No_17906,1519.73
Order_No_24831,1397.61
Order_No_15312,3098.58
Order_No_17599,1306.8
Order_No_8759,450.55
Order_No_18102,2242.82
Order_No_19596,1639.97
Order_No_18174,1191.6
Order_No_18641,2621.51
Order_No_7568,826.2
Order_No_23561,1314.16
Order_No_21212,592.8
Order_No_19352,2692.86
Order_No_13038,2257.74
Order_No_14688,1480.72
Order_No_5155,1016.66
Order_No_26963,979.5
Order_No_25662,2352.35
Order_No_22324,1381.74
Order_No_4080,1219.91
Order_No_2551,1657.93
Order_No_6576,1500.76
Order_No_23150,2042.2
Order_No_12488,1648.98
Order_No_14209,680.14
Order_No_14944,1740.8
Order_No_105,1370.99
Order_No_6400,2026.89
Order_No_23670,781.19
Order_No_11927,2626.43
Order_No_672,2230.66
Order_No_24305,1063.97
Order_No_23438,551.19
Order_No_11297,2462.21
Order_No_25875,1050.0
Order_No_2483,1740.72
Order_No_22525,2515.88
