Order_No,Time from Pickup to Arrival
Order_No_19248,1300.705599784851
Order_No_12736,1183.2944898605347
Order_No_768,1179.7373886108398
Order_No_15332,1126.010931968689
Order_No_21373,1174.005781173706
Order_No_14573,2221.509398460388
Order_No_6731,2454.293797492981
Order_No_18436,1353.7335577011108
Order_No_2288,1491.7709846496582
Order_No_9063,2320.2799673080444
Order_No_4814,1239.4009428024292
Order_No_16747,2988.991765975952
Order_No_6376,1437.8209104537964
Order_No_1199,1473.3937463760376
Order_No_17119,1611.1112899780273
Order_No_14832,1229.1429834365845
Order_No_12321,670.2352418899536
Order_No_24820,1712.205298423767
Order_No_6065,1264.4578218460083
Order_No_13176,579.7312059402466
Order_No_23557,876.6603136062622
Order_No_20488,1944.0191316604614
Order_No_24214,1246.5474863052368
Order_No_21206,1792.9400701522827
Order_No_1930,861.3565139770508
Order_No_28180,2079.445574760437
Order_No_13329,467.1561288833618
Order_No_19004,1038.2450466156006
Order_No_27510,1896.1780881881714
Order_No_25394,2077.002799987793
Order_No_11299,2622.7754335403442
Order_No_21269,1486.1693353652954
Order_No_3565,2085.498106956482
Order_No_6473,1228.0385007858276
Order_No_6258,450.86130142211914
Order_No_27480,1950.3991966247559
Order_No_23302,2168.0354719161987
Order_No_16731,1755.3981618881226
Order_No_21353,1529.439552307129
Order_No_10610,858.8488922119141
Order_No_5930,1405.6410493850708
Order_No_5171,1895.6795415878296
Order_No_21590,1778.0416040420532
Order_No_643,1156.3567037582397
Order_No_6308,1209.401888847351
Order_No_16885,1998.8965244293213
Order_No_5421,1810.0800466537476
Order_No_21864,2767.7661027908325
Order_No_11618,1323.7220945358276
Order_No_27514,2440.928644180298
Order_No_26356,1705.4835424423218
Order_No_20174,1139.6088285446167
Order_No_23193,2973.6426763534546
Order_No_17568,1097.4777555465698
Order_No_25549,1420.052357673645
Order_No_23942,1119.7278757095337
Order_No_25817,1742.43203830719
Order_No_16582,2804.596242904663
Order_No_25259,2428.5751209259033
Order_No_7311,1197.4173202514648
Order_No_6198,1490.8712129592896
Order_No_18810,1131.4322004318237
Order_No_26162,1015.8170185089111
Order_No_4192,1168.5223226547241
Order_No_28224,1032.5181198120117
Order_No_15612,599.0502891540527
Order_No_21556,2185.5228509902954
Order_No_15698,2079.077890396118
Order_No_2619,2062.5862312316895
Order_No_10710,1420.6232080459595
Order_No_17906,1339.8436651229858
Order_No_24831,1213.8835611343384
Order_No_15312,3181.185980796814
Order_No_17599,1430.2587480545044
Order_No_8759,501.14206409454346
Order_No_18102,1840.5489778518677
Order_No_19596,1980.6201801300049
Order_No_18174,1012.6292304992676
Order_No_18641,2789.5935592651367
Order_No_7568,865.1646642684937
Order_No_23561,1432.6508378982544
Order_No_21212,939.8115663528442
Order_No_19352,3150.5410947799683
Order_No_13038,2045.0105533599854
Order_No_14688,1393.3840055465698
Order_No_5155,1237.8282384872437
Order_No_26963,1337.811845779419
Order_No_25662,1873.2031831741333
Order_No_22324,1352.874041557312
Order_No_4080,1292.43270778656
Order_No_2551,1679.8710765838623
