Order_No,Time from Pickup to Arrival
Order_No_19248,1471.8042385910178
Order_No_12736,1299.1058493250766
Order_No_768,1329.4618915982944
Order_No_15332,1266.1249995614141
Order_No_21373,1198.62845573348
Order_No_14573,2174.774892847119
Order_No_6731,2304.767035049795
Order_No_18436,1452.9989101912129
Order_No_2288,1524.1581699921667
Order_No_9063,2112.241975856388
Order_No_4814,1131.5728324246882
Order_No_16747,2711.654555405405
Order_No_6376,1535.143844215317
Order_No_1199,1560.4810899780648
Order_No_17119,1697.4883510915508
Order_No_14832,1319.199083315178
Order_No_12321,715.2231139816968
Order_No_24820,1523.829758572442
Order_No_6065,1323.1342375285521
Order_No_13176,444.918082726946
Order_No_23557,1051.1000647482147
Order_No_20488,1883.913796580538
Order_No_24214,1409.081387728952
Order_No_21206,1998.5653850314857
Order_No_1930,646.4682184838114
Order_No_28180,2073.818311683567
Order_No_13329,449.48037943953545
Order_No_19004,943.2777679571972
Order_No_27510,2144.697304327763
Order_No_25394,1992.6241588907278
Order_No_11299,2334.0602331141695
Order_No_21269,1452.2757213401446
Order_No_3565,2957.422103585527
Order_No_6473,1352.6668155903512
Order_No_6258,686.4559041885408
Order_No_27480,1891.3412968554821
Order_No_23302,2519.6385418942114
Order_No_16731,1887.1282974452774
Order_No_21353,1591.425216133185
Order_No_10610,989.2029597583565
Order_No_5930,1341.4711353866567
Order_No_5171,1923.0512849612592
Order_No_21590,1822.273471946968
Order_No_643,1163.4793945903168
Order_No_6308,1176.8533864198298
Order_No_16885,1959.4217241289373
Order_No_5421,1769.201626178964
Order_No_21864,2581.3944226348376
Order_No_11618,1269.4136337865375
Order_No_27514,2505.995417474397
Order_No_26356,1668.5155083754416
Order_No_20174,1124.8126130150035
Order_No_23193,2972.051703589602
Order_No_17568,1212.9925015201259
Order_No_25549,1435.1461150519976
Order_No_23942,1044.5337146497714
Order_No_25817,1551.8116992450882
Order_No_16582,2873.6761113396533
Order_No_25259,2419.5330889780935
Order_No_7311,1371.1056138901279
Order_No_6198,1459.6342198386894
Order_No_18810,1051.0982845350657
Order_No_26162,848.4076662878805
Order_No_4192,1358.0976395567725
Order_No_28224,842.8142011017547
Order_No_15612,548.4174466343655
Order_No_21556,2006.9950951295318
Order_No_15698,2024.420429258932
Order_No_2619,2091.948301247509
Order_No_10710,1438.36962666328
Order_No_17906,1731.0399873801562
Order_No_24831,1234.9751833576004
Order_No_15312,2814.043360570962
Order_No_17599,1405.2497743311114
Order_No_8759,518.7561518130506
Order_No_18102,1920.4132361647537
Order_No_19596,1915.777828541538
Order_No_18174,1241.2646465908433
Order_No_18641,2520.8695799971833
Order_No_7568,836.1522184786459
Order_No_23561,1528.0421378858193
Order_No_21212,693.440703294225
Order_No_19352,2756.298716769683
Order_No_13038,2025.9714590490898
Order_No_14688,1585.4007866595255
Order_No_5155,1046.4280375010717
Order_No_26963,1153.854298076494
Order_No_25662,1869.246068643844
Order_No_22324,1301.0131027918258
Order_No_4080,1344.3032061381384
Order_No_2551,1437.3550325409997
Order_No_6576,1705.2582585759633
Order_No_23150,1944.285138450563
Order_No_12488,1732.432529664101
Order_No_14209,676.0381997628373
Order_No_14944,1686.18901602127
Order_No_105,1592.9201821693252
Order_No_6400,1886.0400483349094
Order_No_23670,813.3843724513318
Order_No_11927,2020.7162190148015
Order_No_672,2054.0215677961723
Order_No_24305,1406.9721660920657
Order_No_23438,590.3141945815222
Order_No_11297,2437.7818537700073
Order_No_25875,830.143622023027
Order_No_2483,1631.4512772635983
Order_No_22525,2429.6768546885014
Order_No_85,1565.6903918821058
Order_No_25252,1411.0608369622128
Order_No_16007,2198.6310616964693
Order_No_10988,1403.287748203974
Order_No_15321,2081.0752840850278
Order_No_16080,724.2678442416446
Order_No_11090,1056.4928208429699
Order_No_21090,1463.1175760655942
Order_No_1621,1352.5007673461928
Order_No_24456,1620.1655187763279
Order_No_5036,1370.7701127495352
Order_No_15675,2343.9638968994386
Order_No_5672,1400.3496470860266
Order_No_4333,511.10146071203906
Order_No_20768,1294.1332410954383
Order_No_12336,1761.1512612328058
Order_No_12293,1377.1558484396537
Order_No_6103,1399.874176921813
Order_No_25920,618.8221555196803
Order_No_2159,1473.0316517115605
Order_No_13215,751.2934842092151
Order_No_15620,1969.3380235566958
Order_No_27406,819.1891285897714
Order_No_3092,3034.4896789941154
Order_No_21088,675.1746725043068
Order_No_6448,1174.1475308173522
Order_No_23769,1325.85567681751
Order_No_2640,1410.6034665487136
Order_No_19108,1693.8558779453024
Order_No_2796,2048.8757228974328
Order_No_16473,1336.2718841535118
Order_No_2754,1528.2469038711397
Order_No_2678,1456.8685111883005
Order_No_12053,1974.3671257471094
Order_No_17071,1232.0190384227444
Order_No_4656,1149.4073714788053
Order_No_27607,1857.7136079068762
Order_No_6709,1674.5320481593942
Order_No_25036,1323.9069393247617
Order_No_16694,765.534680511517
Order_No_24366,2348.8214887512663
Order_No_9590,1955.7056022059435
Order_No_5658,1722.1580040715958
Order_No_13152,558.1209687414859
Order_No_27538,1116.7124908936848
Order_No_2782,1164.9716182532236
Order_No_1311,-49.204473241462225
Order_No_10249,2423.552545553655
Order_No_2624,2114.209133708552
Order_No_27601,1379.008741309909
Order_No_4252,1688.060396344121
Order_No_22149,1809.176391116803
Order_No_2699,2599.4216641837756
Order_No_12371,1578.2783242450018
Order_No_14848,1108.7238917361167
Order_No_10438,1598.0064190737417
Order_No_23513,1689.2276194923306
Order_No_9878,1447.7403494985329
Order_No_9218,1205.1757553309028
Order_No_28256,1636.2590469677975
Order_No_25676,874.1827634464585
Order_No_26922,1696.2963917131601
Order_No_7589,857.18725502101
Order_No_124,1757.1198090113483
Order_No_14779,1239.9184300862953
Order_No_26218,1213.589675820973
Order_No_19977,1252.631884867573
