Order_No,Time from Pickup to Arrival
Order_No_19248,1529.717870455422
Order_No_12736,1372.7380512531736
Order_No_768,1368.9076695955719
Order_No_15332,1234.7531450051313
Order_No_21373,1216.9027385104425
Order_No_14573,2122.8577136633635
Order_No_6731,2329.6558741462413
Order_No_18436,1453.865634280507
Order_No_2288,1519.71997588299
Order_No_9063,2161.0642346285213
Order_No_4814,1115.779453724176
Order_No_16747,2718.03784041565
Order_No_6376,1689.7529520408507
Order_No_1199,1574.1755303484613
Order_No_17119,1706.059024568847
Order_No_14832,1274.1445995452339
Order_No_12321,779.6997663479502
Order_No_24820,1537.4306279436573
Order_No_6065,1303.427733949249
Order_No_13176,405.6848780592644
Order_No_23557,1064.8260032218827
Order_No_20488,1849.4856135642876
Order_No_24214,1449.8787666523363
Order_No_21206,2039.2651581087978
Order_No_1930,588.146953473101
Order_No_28180,2110.4252065186956
Order_No_13329,484.97287100667336
Order_No_19004,977.7398615572366
Order_No_27510,2078.69502709181
Order_No_25394,1990.3950371090887
Order_No_11299,2385.314229994884
Order_No_21269,1476.456834592695
Order_No_3565,2944.830324234191
Order_No_6473,1357.2308632256063
Order_No_6258,693.1405667158788
Order_No_27480,1860.722024351769
Order_No_23302,2359.3103697892866
Order_No_16731,1861.0174913562455
Order_No_21353,1625.4468041343791
Order_No_10610,986.135979743972
Order_No_5930,1338.9093129199675
Order_No_5171,1844.8744875937164
Order_No_21590,1895.5082945913477
Order_No_643,1163.4468466077642
Order_No_6308,1161.7309535402273
Order_No_16885,1912.1834002094793
Order_No_5421,1838.5180032534963
Order_No_21864,2558.09877611259
Order_No_11618,1184.3909109507574
Order_No_27514,2552.105903445598
Order_No_26356,1645.3170309209465
Order_No_20174,1192.007119882632
Order_No_23193,2871.274818730057
Order_No_17568,1253.407590025646
Order_No_25549,1425.9077859683482
Order_No_23942,1099.8514288794354
Order_No_25817,1557.8081117787788
Order_No_16582,2914.275175637555
Order_No_25259,2399.1559412913352
Order_No_7311,1440.7395875847744
Order_No_6198,1421.045924537158
Order_No_18810,1040.4492000120515
Order_No_26162,814.9709483770494
Order_No_4192,1372.9654927152812
Order_No_28224,906.5820714964611
Order_No_15612,484.3192521030199
Order_No_21556,2004.9140447279897
Order_No_15698,1937.1031659499395
Order_No_2619,2034.3075661047517
Order_No_10710,1532.3601520186428
Order_No_17906,1772.3452453844563
Order_No_24831,1279.7272276698723
Order_No_15312,2811.4285814106884
Order_No_17599,1391.9919593957673
Order_No_8759,528.9375447409908
Order_No_18102,1979.381530772384
Order_No_19596,1950.8719974395394
Order_No_18174,1265.8699650407762
Order_No_18641,2499.02790051861
Order_No_7568,812.5844544075808
Order_No_23561,1513.3969027517717
Order_No_21212,659.0324215030389
Order_No_19352,2761.1465991156983
Order_No_13038,1998.0038920321686
Order_No_14688,1560.4513784531532
Order_No_5155,1041.8084894176488
Order_No_26963,1198.385224093301
Order_No_25662,1851.4432550558295
Order_No_22324,1292.2144875632093
Order_No_4080,1352.3463179964324
Order_No_2551,1373.800266616669
Order_No_6576,1622.2781188587194
Order_No_23150,1952.8879160850709
Order_No_12488,1756.7613127323311
Order_No_14209,631.9329745200042
Order_No_14944,1661.1336364937083
Order_No_105,1595.4480566346751
Order_No_6400,2024.11987824966
Order_No_23670,780.509385854813
Order_No_11927,2081.912711530958
Order_No_672,2050.417949776127
Order_No_24305,1343.1338347154094
Order_No_23438,597.8922519899608
Order_No_11297,2497.2731766903516
Order_No_25875,773.4694790797649
Order_No_2483,1551.6338175066392
Order_No_22525,2427.336121172088
Order_No_85,1581.2496248998823
Order_No_25252,1344.3305839786374
Order_No_16007,2150.166747793183
Order_No_10988,1163.5726490364843
Order_No_15321,2104.4724933245825
Order_No_16080,696.9086538244029
Order_No_11090,1077.5374897926833
Order_No_21090,1582.8570008033062
Order_No_1621,1408.9506846679226
Order_No_24456,1766.84032169093
Order_No_5036,1409.09917407759
Order_No_15675,2053.5803527448315
Order_No_5672,1434.5699211694644
Order_No_4333,570.9699715094622
Order_No_20768,1311.3676358046498
Order_No_12336,1775.3777418198104
Order_No_12293,1376.71131396755
Order_No_6103,1399.2255392989257
Order_No_25920,715.7607439549757
Order_No_2159,1491.4712609442302
Order_No_13215,618.5423248501761
Order_No_15620,1966.8540587200378
Order_No_27406,757.5602305112835
Order_No_3092,2862.4595204276766
Order_No_21088,689.6689512999778
Order_No_6448,1019.9864024317127
Order_No_23769,1343.2523899962437
Order_No_2640,1376.2826148974768
Order_No_19108,1705.2017108133716
Order_No_2796,2038.9216266978383
Order_No_16473,1319.846959981563
Order_No_2754,1572.890782085763
Order_No_2678,1401.450718713371
Order_No_12053,1910.6065891784797
Order_No_17071,1256.1171877009353
Order_No_4656,1127.5221065796882
Order_No_27607,1821.394660043402
Order_No_6709,1643.875828617311
Order_No_25036,1353.2737908667498
Order_No_16694,762.0890517796073
Order_No_24366,2282.4911352178287
Order_No_9590,1917.1359675713834
Order_No_5658,1724.1964422966178
Order_No_13152,533.3610446642055
Order_No_27538,1144.1923369886144
Order_No_2782,1179.641424178905
Order_No_1311,70.51198274721395
Order_No_10249,2481.0016362630427
Order_No_2624,2107.7710195065724
Order_No_27601,1393.174498756451
Order_No_4252,1720.1512677988596
Order_No_22149,1656.03033139599
Order_No_2699,2558.275303118651
Order_No_12371,1610.2539396848863
Order_No_14848,1131.650175470946
Order_No_10438,1606.5678913407007
Order_No_23513,1712.5389558578545
Order_No_9878,1495.4469843471318
Order_No_9218,1175.8456751841659
Order_No_28256,1753.7086992539162
Order_No_25676,761.297283317384
Order_No_26922,1692.6495816507527
Order_No_7589,771.7501358303456
Order_No_124,1747.870092072667
Order_No_14779,1260.6134890196388
Order_No_26218,1157.020950684411
Order_No_19977,1263.3533619490722
Order_No_14440,1419.8182401920114
Order_No_9561,1393.4831747554279
Order_No_9009,1062.166233068125
