Order_No,Time from Pickup to Arrival
Order_No_19248,1715.733683688361
Order_No_12736,1345.9986296050704
Order_No_768,1380.6052941002022
Order_No_15332,1152.4113790798388
Order_No_21373,1166.7544558936497
Order_No_14573,2217.765501337559
Order_No_6731,2247.336818056866
Order_No_18436,1499.5226761637061
Order_No_2288,1566.039641985187
Order_No_9063,2110.326470389505
Order_No_4814,1062.6938994283817
Order_No_16747,2926.704381462704
Order_No_6376,1590.1028213739412
Order_No_1199,1492.041003312109
Order_No_17119,1616.0130078954792
Order_No_14832,1329.206580226509
Order_No_12321,820.122995335462
Order_No_24820,1321.952418422197
Order_No_6065,1226.5261011735222
Order_No_13176,530.7919209324847
Order_No_23557,951.9445899969049
Order_No_20488,1905.2900245405883
Order_No_24214,1377.3883285083539
Order_No_21206,1740.057797992859
Order_No_1930,559.3786040022546
Order_No_28180,2289.0963984566433
Order_No_13329,505.1782567222152
Order_No_19004,988.9173635627204
Order_No_27510,2403.3482521658975
Order_No_25394,1692.379282949626
Order_No_11299,2247.7744991219697
Order_No_21269,1518.340623024954
Order_No_3565,2840.3372322001605
Order_No_6473,1515.361594162644
Order_No_6258,240.15466165950576
Order_No_27480,1884.4425248471741
Order_No_23302,2325.450944711902
Order_No_16731,1773.6925402806762
Order_No_21353,1643.808806495852
Order_No_10610,1086.0272790191484
Order_No_5930,1301.7944087215067
Order_No_5171,1932.069401444272
Order_No_21590,1888.504769480903
Order_No_643,1055.461147079414
Order_No_6308,1179.4865011359384
Order_No_16885,1987.9293792972783
Order_No_5421,1845.8323221085943
Order_No_21864,2474.403767113958
Order_No_11618,1150.4366465857497
Order_No_27514,2624.4839925805572
Order_No_26356,1490.7199223950845
Order_No_20174,1227.0457030156958
Order_No_23193,3047.310145574401
Order_No_17568,1147.9002563610597
Order_No_25549,1293.6099557169289
Order_No_23942,1124.9613450353954
Order_No_25817,1463.7095598864087
Order_No_16582,2721.4221015600415
Order_No_25259,2347.999858184702
Order_No_7311,1406.3912759782013
Order_No_6198,1474.3284001682548
Order_No_18810,1199.2981660001929
Order_No_26162,913.4119503844761
Order_No_4192,1322.9771152426622
Order_No_28224,725.3137710074825
Order_No_15612,503.9473735721325
Order_No_21556,2107.933094217263
Order_No_15698,2059.731383439633
Order_No_2619,1982.2076050457138
Order_No_10710,1385.4757329494685
Order_No_17906,1819.7107707111102
Order_No_24831,1196.4401327708072
Order_No_15312,3043.839400586159
Order_No_17599,1317.5486056086636
Order_No_8759,551.773876302767
Order_No_18102,1932.3259085292711
Order_No_19596,1633.7897190659448
Order_No_18174,1304.5043789608715
Order_No_18641,2639.7791276526655
Order_No_7568,745.160677008075
Order_No_23561,1388.60545320473
Order_No_21212,702.9578498212294
Order_No_19352,3113.1136625926833
Order_No_13038,2140.8349765556063
Order_No_14688,1568.4637732441022
Order_No_5155,988.8256237613148
Order_No_26963,1095.486888458576
Order_No_25662,1996.7379403285347
Order_No_22324,1357.4837247060877
Order_No_4080,1377.9696104297132
Order_No_2551,1385.5344483500448
Order_No_6576,1756.77860945845
Order_No_23150,2106.661275822657
Order_No_12488,1776.793213523264
Order_No_14209,625.6808360969474
Order_No_14944,1696.4600104329122
Order_No_105,1415.0139086132212
Order_No_6400,1857.714761758656
Order_No_23670,744.7173840818477
Order_No_11927,2349.4784347675254
Order_No_672,2094.6136721526673
Order_No_24305,1340.507282245243
Order_No_23438,611.6961981548104
Order_No_11297,2584.755758630663
Order_No_25875,827.066489948235
Order_No_2483,1612.872649618836
Order_No_22525,2513.6819685268533
Order_No_85,1485.298138099683
Order_No_25252,1472.9944488457245
Order_No_16007,2215.6708736139285
Order_No_10988,1443.4622721491176
Order_No_15321,2125.0972662897425
Order_No_16080,749.913249340089
Order_No_11090,1106.0752287789865
Order_No_21090,1248.2716055511246
Order_No_1621,1396.837449053504
Order_No_24456,1727.8741520379367
Order_No_5036,1330.2213952708541
Order_No_15675,2342.5241865204503
Order_No_5672,1353.1516439778416
Order_No_4333,466.5001520419787
Order_No_20768,1291.4752882096568
Order_No_12336,1647.7927101359135
Order_No_12293,1383.970017039049
Order_No_6103,1466.2845075080852
Order_No_25920,821.4991978589862
Order_No_2159,1551.3298585271516
Order_No_13215,605.4545396726877
Order_No_15620,2216.062469674971
Order_No_27406,777.1545882974673
Order_No_3092,2940.921440282186
Order_No_21088,617.7619914053821
Order_No_6448,1203.8620646569525
Order_No_23769,1348.8086924676772
Order_No_2640,1440.6744137186947
Order_No_19108,1616.9415028122105
Order_No_2796,2338.7283381585366
Order_No_16473,1213.1857740314736
Order_No_2754,1488.9769813982582
Order_No_2678,1519.7378998429801
Order_No_12053,2176.951847609019
Order_No_17071,1305.7258722797978
Order_No_4656,1129.2056812460416
Order_No_27607,1720.2350684411388
Order_No_6709,1599.056675683289
Order_No_25036,1273.4707516283097
Order_No_16694,776.839854151069
Order_No_24366,2156.835123002333
Order_No_9590,1946.4080764117662
Order_No_5658,1579.893892604527
Order_No_13152,556.086866378263
Order_No_27538,1243.9559649613136
Order_No_2782,1134.818633649421
Order_No_1311,98.5452838214856
Order_No_10249,2476.326778125264
Order_No_2624,2410.3138656575306
Order_No_27601,1427.1846648173894
Order_No_4252,1836.2483311381775
Order_No_22149,1810.697751760132
Order_No_2699,2676.155107031813
Order_No_12371,1619.46421751023
Order_No_14848,1177.6181033425657
Order_No_10438,1538.6674425522315
Order_No_23513,1657.0821835281076
Order_No_9878,1457.215633252937
Order_No_9218,1225.1055411370328
Order_No_28256,1641.4756040417508
Order_No_25676,873.2207225106698
Order_No_26922,1810.7841040906287
Order_No_7589,804.9783242776414
Order_No_124,931.8635586928733
Order_No_14779,1049.0749001585118
Order_No_26218,1255.3756316340737
Order_No_19977,1181.5427734648192
Order_No_14440,1507.6114312645268
Order_No_9561,1295.38956309221
Order_No_9009,986.9072254153048
Order_No_20146,1576.022619252497
Order_No_7718,1477.4832623132143
Order_No_16083,1312.0997445015341
Order_No_3126,1019.5058968263623
Order_No_801,802.8545896830032
Order_No_5373,1439.3105084847637
Order_No_7421,417.80478350245
Order_No_602,2607.016122266489
Order_No_9418,1425.0018123549523
Order_No_27144,1422.5561146531693
Order_No_16792,691.8902874773844
Order_No_21252,1707.1825392617836
Order_No_21129,2011.0620597158572
Order_No_18774,1851.1267171591737
Order_No_20974,1424.5089450078417
Order_No_5267,1172.494515479294
Order_No_25107,1264.1931302486018
Order_No_611,2420.275928917704
Order_No_13596,1998.212752136187
Order_No_465,647.8784517206861
Order_No_2236,2462.4844398780147
Order_No_3411,612.7629386039273
Order_No_17613,1148.7527225301828
Order_No_27381,1746.6729075472606
Order_No_26072,2414.412486823809
Order_No_19414,2031.4565160324405
Order_No_21954,2267.9230457812437
