Order_No,Time from Pickup to Arrival
Order_No_19248,1296.4382078186418
Order_No_12736,1188.4382078186418
Order_No_768,1177.7507078186418
Order_No_15332,1126.5632078186418
Order_No_21373,1170.6882078186418
Order_No_14573,2200.688207818642
Order_No_6731,2426.063207818642
Order_No_18436,1367.6882078186418
Order_No_2288,1476.4382078186418
Order_No_9063,2346.906957818642
Order_No_4814,1234.1218015686418
Order_No_16747,2968.938207818642
Order_No_6376,1430.9382078186418
Order_No_1199,1463.1882078186418
Order_No_17119,1625.4382078186418
Order_No_14832,1217.4694578186418
Order_No_12321,677.6882078186418
Order_No_24820,1723.1882078186418
Order_No_6065,1275.6257078186418
Order_No_13176,567.3132078186418
Order_No_23557,868.8132078186418
Order_No_20488,1955.6257078186418
Order_No_24214,1237.9382078186418
Order_No_21206,1753.1882078186418
Order_No_1930,843.4382078186418
Order_No_28180,2067.688207818642
Order_No_13329,464.1257078186418
Order_No_19004,1036.6882078186418
Order_No_27510,1896.4382078186418
Order_No_25394,2099.688207818642
Order_No_11299,2640.063207818642
Order_No_21269,1508.0632078186418
Order_No_3565,2093.313207818642
Order_No_6473,1216.4382078186418
Order_No_6258,489.6882078186418
Order_No_27480,1935.9382078186418
Order_No_23302,2164.688207818642
Order_No_16731,1742.0632078186418
Order_No_21353,1521.9382078186418
Order_No_10610,836.6257078186418
Order_No_5930,1422.4382078186418
Order_No_5171,1904.8132078186418
Order_No_21590,1778.9382078186418
Order_No_643,1128.1882078186418
Order_No_6308,1210.4382078186418
Order_No_16885,1976.4382078186418
Order_No_5421,1789.4382078186418
Order_No_21864,2774.688207818642
Order_No_11618,1312.6257078186418
Order_No_27514,2437.188207818642
Order_No_26356,1706.6882078186418
Order_No_20174,1164.4382078186418
Order_No_23193,3003.438207818642
Order_No_17568,1086.5007078186418
Order_No_25549,1506.7975828186418
Order_No_23942,1128.6882078186418
Order_No_25817,1750.4382078186418
Order_No_16582,2804.938207818642
Order_No_25259,2426.500707818642
Order_No_7311,1188.9382078186418
Order_No_6198,1479.6882078186418
Order_No_18810,1129.5632078186418
Order_No_26162,1018.9382078186418
Order_No_4192,1163.9382078186418
Order_No_28224,1020.1882078186418
Order_No_15612,640.1882078186418
Order_No_21556,2170.813207818642
Order_No_15698,2076.188207818642
Order_No_2619,2069.938207818642
Order_No_10710,1421.9382078186418
Order_No_17906,1346.1882078186418
Order_No_24831,1194.8132078186418
Order_No_15312,3181.688207818642
Order_No_17599,1422.6882078186418
Order_No_8759,491.3132078186418
Order_No_18102,1849.5632078186418
Order_No_19596,1968.6882078186418
Order_No_18174,1017.0632078186418
Order_No_18641,2791.188207818642
Order_No_7568,857.1882078186418
Order_No_23561,1411.6882078186418
Order_No_21212,913.9382078186418
Order_No_19352,3143.063207818642
Order_No_13038,2037.9382078186418
Order_No_14688,1378.6882078186418
Order_No_5155,1225.4382078186418
Order_No_26963,1337.0632078186418
Order_No_25662,1874.1882078186418
Order_No_22324,1312.8132078186418
Order_No_4080,1345.4382078186418
Order_No_2551,1646.1882078186418
Order_No_6576,1770.4382078186418
Order_No_23150,1937.4382078186418
Order_No_12488,1781.5632078186418
Order_No_14209,951.4382078186418
Order_No_14944,1798.8132078186418
Order_No_105,1588.3132078186418
Order_No_6400,2220.813207818642
Order_No_23670,901.4382078186418
Order_No_11927,2120.938207818642
Order_No_672,2028.9382078186418
Order_No_24305,1307.4382078186418
Order_No_23438,416.3132078186418
Order_No_11297,2708.563207818642
Order_No_25875,837.1882078186418
Order_No_2483,1596.5632078186418
Order_No_22525,2365.938207818642
Order_No_85,1546.1882078186418
Order_No_25252,1161.4382078186418
Order_No_16007,2187.188207818642
Order_No_10988,1399.3132078186418
Order_No_15321,2132.406957818642
Order_No_16080,658.5632078186418
Order_No_11090,1009.6882078186418
Order_No_21090,1378.4382078186418
Order_No_1621,1442.5632078186418
Order_No_24456,1647.9069578186418
Order_No_5036,1283.9382078186418
Order_No_15675,1973.3600828186418
Order_No_5672,1262.4382078186418
Order_No_4333,471.6882078186418
Order_No_20768,1208.3757078186418
Order_No_12336,1603.2507078186418
Order_No_12293,1009.4382078186418
Order_No_6103,1237.9382078186418
Order_No_25920,563.4382078186418
Order_No_2159,1660.6882078186418
Order_No_13215,893.9382078186418
Order_No_15620,1892.9382078186418
Order_No_27406,-34.561792181358214
Order_No_3092,3081.188207818642
Order_No_21088,763.5007078186418
Order_No_6448,803.8132078186418
Order_No_23769,1446.0632078186418
Order_No_2640,1369.0007078186418
Order_No_19108,1873.1882078186418
Order_No_2796,2192.438207818642
Order_No_16473,1623.7819578186418
Order_No_2754,1129.1882078186418
Order_No_2678,1481.8132078186418
Order_No_12053,1884.5007078186418
Order_No_17071,1326.6882078186418
Order_No_4656,1230.1257078186418
Order_No_27607,1772.1882078186418
Order_No_6709,1662.3757078186418
Order_No_25036,1205.9382078186418
Order_No_16694,858.9382078186418
Order_No_24366,2405.938207818642
Order_No_9590,1906.4382078186418
Order_No_5658,1752.1882078186418
Order_No_13152,522.1257078186418
Order_No_27538,1063.3132078186418
Order_No_2782,1058.6882078186418
Order_No_1311,-163.99929218135821
Order_No_10249,2243.688207818642
Order_No_2624,2104.563207818642
Order_No_27601,1440.9382078186418
Order_No_4252,1598.8132078186418
Order_No_22149,1601.6882078186418
Order_No_2699,2751.438207818642
Order_No_12371,1600.9382078186418
Order_No_14848,925.8132078186418
Order_No_10438,1597.4382078186418
Order_No_23513,1656.9382078186418
Order_No_9878,1280.4382078186418
Order_No_9218,1269.1882078186418
Order_No_28256,1736.1413328186418
Order_No_25676,973.9382078186418
Order_No_26922,1591.9382078186418
Order_No_7589,1051.1257078186418
Order_No_124,2038.9382078186418
Order_No_14779,1194.9382078186418
Order_No_26218,1322.6882078186418
Order_No_19977,1210.9382078186418
Order_No_14440,1310.9382078186418
Order_No_9561,1286.4382078186418
Order_No_9009,943.6882078186418
Order_No_20146,1986.8132078186418
Order_No_7718,1526.4382078186418
Order_No_16083,1129.7507078186418
Order_No_3126,1057.1882078186418
Order_No_801,-926.0930421813582
Order_No_5373,1541.4382078186418
Order_No_7421,549.1882078186418
Order_No_602,2236.438207818642
Order_No_9418,1498.1882078186418
Order_No_27144,1506.6257078186418
Order_No_16792,808.0632078186418
Order_No_21252,1482.6882078186418
Order_No_21129,1620.6882078186418
Order_No_18774,1762.8132078186418
Order_No_20974,1507.4382078186418
Order_No_5267,870.3132078186418
Order_No_25107,1282.1257078186418
Order_No_611,2316.688207818642
Order_No_13596,1932.4382078186418
Order_No_465,633.1882078186418
Order_No_2236,2421.438207818642
Order_No_3411,665.1882078186418
Order_No_17613,1374.8132078186418
Order_No_27381,2179.813207818642
Order_No_26072,1425.4382078186418
Order_No_19414,2224.438207818642
Order_No_21954,2360.188207818642
Order_No_22538,1893.6882078186418
Order_No_10756,1729.4382078186418
Order_No_23756,1528.8132078186418
Order_No_3807,2183.438207818642
Order_No_18694,1620.7507078186418
Order_No_27245,1136.6882078186418
Order_No_12437,766.6882078186418
Order_No_27751,1426.1882078186418
Order_No_22832,1297.4382078186418
Order_No_3904,1192.5632078186418
Order_No_5230,944.4382078186418
Order_No_13968,1145.6882078186418
Order_No_23129,651.6882078186418
Order_No_25454,1661.7507078186418
Order_No_25963,1592.8132078186418
Order_No_13552,1465.2194578186418
Order_No_2495,1427.4382078186418
Order_No_5081,1103.4382078186418
Order_No_2922,1287.6882078186418
Order_No_2016,1581.6882078186418
Order_No_1104,1572.1882078186418
Order_No_27980,883.1882078186418
Order_No_26414,1955.1882078186418
Order_No_22882,2317.063207818642
Order_No_18730,2298.688207818642
Order_No_22573,1412.0632078186418
Order_No_3483,1183.6882078186418
Order_No_23613,1374.3757078186418
Order_No_13591,1719.3132078186418
Order_No_11271,1340.7507078186418
Order_No_26896,1602.4382078186418
Order_No_8184,1041.6882078186418
Order_No_19027,2955.438207818642
Order_No_1146,1016.7507078186418
