Order_No,Time from Pickup to Arrival
Order_No_19248,2207.1729
Order_No_12736,1371.1833
Order_No_768,1967.6523
Order_No_15332,1450.6842
Order_No_21373,1104.9194
Order_No_14573,2317.3206
Order_No_6731,2116.9678
Order_No_18436,1439.5117
Order_No_2288,1481.9923
Order_No_9063,2290.5515
Order_No_4814,766.40454
Order_No_16747,2698.3809
Order_No_6376,1692.8922
Order_No_1199,1616.656
Order_No_17119,1493.5067
Order_No_14832,1566.474
Order_No_12321,779.1095
Order_No_24820,1436.7078
Order_No_6065,1143.4268
Order_No_13176,410.22845
Order_No_23557,984.214
Order_No_20488,2083.9126
Order_No_24214,1403.513
Order_No_21206,1121.2897
Order_No_1930,636.8769
Order_No_28180,2564.4385
Order_No_13329,382.72897
Order_No_19004,1088.1304
Order_No_27510,2268.5134
Order_No_25394,1423.5334
Order_No_11299,1657.5703
Order_No_21269,1301.7412
Order_No_3565,2562.5544
Order_No_6473,1570.8252
Order_No_6258,382.88922
Order_No_27480,2169.3762
Order_No_23302,2734.4294
Order_No_16731,1581.1855
Order_No_21353,2062.388
Order_No_10610,1218.1282
Order_No_5930,1253.9335
Order_No_5171,2032.1664
Order_No_21590,1772.9229
Order_No_643,978.73004
Order_No_6308,1292.5618
Order_No_16885,2344.6157
Order_No_5421,1684.2007
Order_No_21864,2613.3882
Order_No_11618,1013.3102
Order_No_27514,2634.95
Order_No_26356,1574.307
Order_No_20174,1422.0166
Order_No_23193,3063.808
Order_No_17568,568.26013
Order_No_25549,1775.1029
Order_No_23942,1353.0963
Order_No_25817,1658.2888
Order_No_16582,2623.5037
Order_No_25259,2191.3425
Order_No_7311,1267.4437
Order_No_6198,1843.3008
Order_No_18810,1380.7241
Order_No_26162,1016.0534
Order_No_4192,1325.1704
Order_No_28224,1107.185
Order_No_15612,453.436
Order_No_21556,2178.4595
Order_No_15698,2196.4617
Order_No_2619,2568.708
Order_No_10710,1189.1345
Order_No_17906,2193.3186
Order_No_24831,1018.37604
Order_No_15312,2778.9624
Order_No_17599,1576.3208
Order_No_8759,535.16766
Order_No_18102,1870.9349
Order_No_19596,1938.753
Order_No_18174,1208.9036
Order_No_18641,2836.771
Order_No_7568,894.86316
Order_No_23561,1213.861
Order_No_21212,769.058
Order_No_19352,3352.2332
Order_No_13038,2387.433
Order_No_14688,2019.3726
Order_No_5155,915.2361
Order_No_26963,1052.5071
Order_No_25662,2089.0735
Order_No_22324,1378.8026
Order_No_4080,1391.546
Order_No_2551,1588.7935
Order_No_6576,1426.3146
Order_No_23150,2242.3945
Order_No_12488,1775.4415
Order_No_14209,696.8895
Order_No_14944,1752.1874
Order_No_105,1201.0696
Order_No_6400,1768.0638
Order_No_23670,765.2285
Order_No_11927,2456.4895
Order_No_672,2294.4578
Order_No_24305,1580.5591
Order_No_23438,550.28735
Order_No_11297,2698.106
Order_No_25875,836.5157
Order_No_2483,1350.0745
Order_No_22525,2677.109
Order_No_85,1757.7588
Order_No_25252,1798.567
Order_No_16007,2037.6848
Order_No_10988,1264.9736
Order_No_15321,2492.319
Order_No_16080,622.7201
Order_No_11090,1018.7246
Order_No_21090,1215.5153
Order_No_1621,1370.2227
Order_No_24456,1844.4835
Order_No_5036,1560.3275
Order_No_15675,1715.3654
Order_No_5672,1387.7578
Order_No_4333,289.64688
Order_No_20768,1330.1217
Order_No_12336,1533.8982
Order_No_12293,1584.0266
Order_No_6103,1301.6864
Order_No_25920,848.6525
Order_No_2159,1460.8674
Order_No_13215,500.11636
Order_No_15620,1732.6693
Order_No_27406,288.54227
Order_No_3092,3050.7556
Order_No_21088,495.02478
Order_No_6448,1164.0095
Order_No_23769,1170.9572
Order_No_2640,1024.2074
Order_No_19108,1596.9971
Order_No_2796,2186.1956
Order_No_16473,1414.3187
Order_No_2754,1567.0756
Order_No_2678,1309.4827
Order_No_12053,2415.888
Order_No_17071,1349.6569
Order_No_4656,1049.6084
Order_No_27607,1515.6495
Order_No_6709,1718.6743
Order_No_25036,1388.1287
Order_No_16694,760.7803
Order_No_24366,2080.867
Order_No_9590,2057.5518
Order_No_5658,1337.346
Order_No_13152,437.64267
Order_No_27538,1548.3745
Order_No_2782,841.7515
Order_No_1311,111.72859
Order_No_10249,2328.5254
Order_No_2624,2146.861
Order_No_27601,1533.1792
Order_No_4252,1874.9205
Order_No_22149,2085.9712
Order_No_2699,2711.38
Order_No_12371,1818.2129
Order_No_14848,1236.7328
Order_No_10438,1184.3002
Order_No_23513,1515.5948
Order_No_9878,1484.6345
Order_No_9218,1426.4349
Order_No_28256,1584.3008
Order_No_25676,847.5773
Order_No_26922,1472.4172
Order_No_7589,660.6439
Order_No_124,512.80023
Order_No_14779,1388.2217
Order_No_26218,1010.8448
Order_No_19977,1119.8016
Order_No_14440,1134.7302
Order_No_9561,1345.719
Order_No_9009,890.2986
Order_No_20146,1337.0063
Order_No_7718,1350.6361
Order_No_16083,1362.3503
Order_No_3126,1068.177
Order_No_801,615.2949
Order_No_5373,1222.2115
Order_No_7421,600.891
Order_No_602,2557.002
Order_No_9418,1449.2574
Order_No_27144,1435.254
Order_No_16792,436.21146
Order_No_21252,1386.8042
Order_No_21129,1782.3407
Order_No_18774,1735.8802
Order_No_20974,1556.7505
Order_No_5267,727.02997
Order_No_25107,1597.6678
Order_No_611,2055.6106
Order_No_13596,1752.448
Order_No_465,656.28564
Order_No_2236,2335.1384
Order_No_3411,509.33066
Order_No_17613,996.96924
Order_No_27381,2265.2437
Order_No_26072,2172.0435
Order_No_19414,2039.0359
Order_No_21954,2568.1006
Order_No_22538,1801.9088
Order_No_10756,2073.782
Order_No_23756,1746.6874
Order_No_3807,2255.1082
Order_No_18694,1652.707
Order_No_27245,1160.3838
Order_No_12437,784.9107
Order_No_27751,1515.2395
Order_No_22832,1107.3466
Order_No_3904,1193.4421
Order_No_5230,584.91785
Order_No_13968,401.69785
Order_No_23129,534.89954
Order_No_25454,1636.4241
Order_No_25963,1411.7035
Order_No_13552,1284.6383
Order_No_2495,1817.9023
Order_No_5081,1395.3103
Order_No_2922,1646.6964
Order_No_2016,1523.8142
Order_No_1104,1380.9774
Order_No_27980,700.72833
Order_No_26414,2296.819
Order_No_22882,2455.1006
Order_No_18730,2681.9246
Order_No_22573,1772.1311
Order_No_3483,1711.9161
Order_No_23613,2019.9812
Order_No_13591,1565.0514
Order_No_11271,2083.3298
Order_No_26896,1701.9713
Order_No_8184,938.3279
Order_No_19027,2660.0593
Order_No_1146,1325.6343
Order_No_192,793.9825
Order_No_14758,624.4714
Order_No_23931,1013.6618
Order_No_9924,1363.6821
Order_No_21201,1451.1282
Order_No_12726,713.96423
Order_No_25899,544.3117
Order_No_26621,2013.5198
Order_No_17483,1272.4606
Order_No_2943,2055.7424
Order_No_6923,1168.4454
Order_No_181,2915.4783
Order_No_19543,1847.0616
Order_No_11022,1524.9088
Order_No_16940,1734.5387
Order_No_22316,2085.7493
Order_No_24662,1417.0027
Order_No_7034,1715.5988
Order_No_13090,1440.5272
Order_No_761,469.90033
Order_No_25720,1733.6077
Order_No_12467,1954.4524
Order_No_16527,424.2343
Order_No_15886,1356.2501
Order_No_14129,1357.0803
Order_No_22079,3291.5354
Order_No_9552,1509.0092
Order_No_28093,953.5861
Order_No_3167,1315.2805
Order_No_18111,1123.0322
Order_No_10981,999.46173
Order_No_17959,3072.6582
Order_No_19855,-27.241695
Order_No_21278,1453.6923
Order_No_5819,1953.6929
Order_No_26651,1031.0457
Order_No_6273,914.94666
Order_No_15656,957.2366
Order_No_22,2054.7566
Order_No_17367,2733.1753
Order_No_257,1458.0658
Order_No_15175,2565.5122
Order_No_546,2464.3096
Order_No_20915,826.3912
Order_No_22885,1333.7075
Order_No_4613,2568.7456
Order_No_5473,995.435
Order_No_4698,389.27753
Order_No_5638,1651.4288
Order_No_20471,2389.096
Order_No_17954,1450.9009
Order_No_14468,2493.033
Order_No_2968,1363.4991
Order_No_24419,969.47076
Order_No_7674,2696.409
Order_No_26560,664.90717
Order_No_15611,985.94745
Order_No_15085,2552.87
Order_No_1440,2559.8794
Order_No_18237,1745.4971
Order_No_8092,2368.15
Order_No_529,1728.9547
Order_No_22717,1877.9034
Order_No_3509,1524.1108
Order_No_26201,1687.0781
Order_No_20497,1095.9724
Order_No_12558,2147.1147
Order_No_23463,978.1517
Order_No_18978,2357.281
Order_No_5508,1630.6938
Order_No_11317,519.4752
Order_No_13632,531.14734
Order_No_3751,1284.7246
Order_No_27592,2090.826
Order_No_25276,2484.015
Order_No_18188,1777.356
Order_No_27593,2033.3931
Order_No_2022,1512.8561
Order_No_4713,646.118
Order_No_23001,1186.2086
Order_No_9222,1940.8384
Order_No_3417,1664.2181
Order_No_3133,1313.6787
Order_No_1571,1168.0409
Order_No_14300,2295.939
Order_No_4825,1491.0566
Order_No_26248,2026.481
Order_No_22868,1227.501
Order_No_793,1275.6108
Order_No_891,2102.1272
Order_No_6505,823.90845
Order_No_12415,1385.4542
Order_No_5850,1967.4384
Order_No_12144,1511.617
Order_No_7476,2103.5564
Order_No_20096,2053.9685
Order_No_13743,1811.0682
Order_No_4724,1946.7443
Order_No_13814,1662.878
Order_No_15469,1671.5825
Order_No_5324,2152.661
Order_No_11383,1674.3987
Order_No_11795,1616.0475
Order_No_28131,2028.1172
