iter	RMSE
0	970.3616322
1	952.938479
2	936.7004712
3	922.4987288
4	910.3488487
5	898.5803641
6	887.4585559
7	878.0562395
8	869.8934309
9	862.059367
10	854.9714416
11	848.5628883
12	842.8314232
13	837.7614009
14	832.2949506
15	828.2291922
16	824.3046701
17	820.8781733
18	817.7468813
19	814.7984896
20	811.7076651
21	808.7041049
22	805.3182693
23	802.6115316
24	800.7413015
25	799.0110436
26	796.9532409
27	795.0760463
28	793.1879933
29	791.6156821
30	790.375736
31	788.8135265
32	787.6825963
33	786.8447474
34	785.6990657
35	784.1222775
36	783.147719
37	781.9414764
38	781.312797
39	780.5203698
40	779.6041317
41	778.5131249
42	777.9495941
43	777.492077
44	776.2264337
45	775.3093208
46	774.6382856
47	773.8339031
48	773.2119308
49	772.394879
50	771.7931247
51	770.8510477
52	770.3219975
53	769.7824945
54	769.3714551
55	768.7239966
56	768.1167578
57	767.7301694
58	766.9953207
59	766.567955
60	766.2209375
61	765.6493268
62	765.0448864
63	764.5049588
64	764.0081105
65	763.6575108
66	763.3474179
67	763.0146568
68	762.7628468
69	762.4284951
70	762.0907954
71	761.7035214
72	761.4707454
73	761.0770145
74	760.6952062
75	760.3951583
76	760.0699623
77	759.6834129
78	759.1669526
79	758.8245572
80	758.3816806
81	758.0310648
82	757.6168608
83	757.1710099
84	756.7500516
85	756.5624215
86	756.2497506
87	755.9486565
88	755.720851
89	755.3937914
90	755.0836216
91	754.8628953
92	754.3321326
93	753.9558107
94	753.8185368
95	753.6687839
96	753.3012627
97	753.155467
98	752.8508049
99	752.3529869
100	752.1652604
101	751.9257287
102	751.711397
103	751.5208265
104	751.2964968
105	750.7179024
106	750.4872102
107	750.321295
108	750.0506435
109	749.8835912
110	749.6392492
111	749.388691
112	749.22244
113	748.9481318
114	748.5107193
115	748.313976
116	748.0567568
117	747.7586451
118	747.5330555
119	747.1969055
120	746.7089016
121	746.5508226
122	746.3602251
123	746.1570476
124	745.738831
125	745.4526207
126	745.3073275
127	744.9906821
128	744.8231347
129	744.636694
130	744.2606264
131	744.0209941
132	743.765978
133	743.4084132
134	743.0695183
135	742.8960457
136	742.7797651
137	742.5514667
138	742.2076022
139	741.9851809
140	741.6576269
141	741.4595198
142	741.0836114
143	740.9513141
144	740.6111779
145	740.2681789
146	740.0347044
147	739.901403
148	739.7195066
149	739.5449731
150	739.3557121
151	739.1118162
152	738.9407663
153	738.7090144
154	738.3982128
155	738.141194
156	737.9264805
157	737.7000385
158	737.4288988
159	737.2992364
160	737.0894608
161	736.9643779
162	736.7243493
163	736.4987076
164	736.2695231
165	736.0366662
166	735.7953319
167	735.5767174
168	735.3225433
169	735.0626383
170	734.8199389
171	734.3811301
172	734.2022556
173	733.9638693
174	733.5501614
175	733.1843765
176	733.0529601
177	732.7993664
178	732.4684416
179	732.1800985
180	731.9183572
181	731.6129519
182	731.4155605
183	731.0179516
184	730.8471857
185	730.6818154
186	730.4117144
187	730.0299214
188	729.821673
189	729.6570845
190	729.4018857
191	729.1813914
192	728.837152
193	728.5780539
194	728.3437181
195	728.067894
196	727.9121704
197	727.7640007
198	727.3857376
199	727.1775868
200	726.7836677
201	726.49171
202	726.1417574
203	725.9339395
204	725.8141995
205	725.6208161
206	725.2517952
207	724.9370678
208	724.6105358
209	724.2464319
210	723.9834671
211	723.6685526
212	723.4342399
213	723.2398104
214	722.9501626
215	722.8321645
216	722.5594258
217	722.3352347
218	722.06344
219	721.9328216
220	721.6726088
221	721.507375
222	721.2039757
223	720.7401519
224	720.6447647
225	720.4325983
226	720.247973
227	720.0163535
228	719.8424223
229	719.7242638
230	719.4511685
231	719.1897803
232	718.9094156
233	718.704806
234	718.3628736
235	718.1010099
236	717.8545248
237	717.6339774
238	717.446746
239	717.1233343
240	716.8588626
241	716.7455834
242	716.3780724
243	716.1486997
244	715.9736542
245	715.6155497
246	715.4912296
247	715.2494422
248	715.0038185
249	714.8426619
250	714.6222201
251	714.3573535
252	714.0529882
253	713.8537582
254	713.6070773
255	713.4588393
256	713.247078
257	713.0320906
258	712.8746298
259	712.6488262
260	712.4131461
261	712.2145855
262	711.994233
263	711.6861173
264	711.3656362
265	711.0393031
266	710.8091626
267	710.5251919
268	710.3054403
269	710.0713635
270	709.913872
271	709.8107053
272	709.4725497
273	709.2170233
274	708.9322578
275	708.7102029
276	708.4687759
277	708.1950306
278	707.9973034
279	707.8230556
280	707.6849918
281	707.4706433
282	707.3797717
283	707.247435
284	706.9872129
285	706.8377871
286	706.633069
287	706.3088194
288	706.0566782
289	705.8705922
290	705.676423
291	705.4713177
292	705.257314
293	705.1398526
294	704.9828958
295	704.7566879
296	704.5687995
297	704.3498203
298	704.072567
299	703.7937167
300	703.5447298
301	703.360685
302	703.1704603
303	702.9392571
304	702.7605182
305	702.5604794
306	702.2613211
307	702.0399168
308	701.7334194
309	701.540087
310	701.2976037
311	701.1216054
312	700.873502
313	700.6521352
314	700.3699701
315	700.0538376
316	699.859305
317	699.5956561
318	699.4582972
319	699.3240552
320	699.1318226
321	698.9451951
322	698.8074813
323	698.6281732
324	698.464489
325	698.3068482
326	698.0698465
327	697.8585609
328	697.7034785
329	697.5109915
330	697.3512875
331	697.0839979
332	696.7791311
333	696.5673517
334	696.3748004
335	696.1204227
336	695.847042
337	695.6360675
338	695.4350731
339	695.285373
340	695.0351182
341	694.8958852
342	694.7001073
343	694.5409757
344	694.3605671
345	694.1204007
346	693.932311
347	693.762541
348	693.5919911
349	693.4181384
350	693.2067551
351	692.9675027
352	692.856781
353	692.6408986
354	692.4470484
355	692.1919549
356	692.0580903
357	691.8499612
358	691.563192
359	691.3902892
360	691.1608457
361	690.9956615
362	690.7554794
363	690.5351568
364	690.3831139
365	690.1537498
366	689.9531846
367	689.7483912
368	689.5778264
369	689.3866008
370	689.3008929
371	689.137951
372	688.8429307
373	688.6628301
374	688.4008372
375	688.17756
376	688.0686337
377	687.9288124
378	687.7955027
379	687.5589113
380	687.2984148
381	687.0026131
382	686.8325181
383	686.6156142
384	686.4100042
385	686.2645643
386	686.1002102
387	685.9728656
388	685.80759
389	685.649024
390	685.4998144
391	685.2837019
392	685.1391269
393	684.9076686
394	684.7762613
395	684.5263504
396	684.3689622
397	684.1680723
398	683.9833609
399	683.778409
400	683.5134442
401	683.3982769
402	683.1537208
403	682.9861016
404	682.7465063
405	682.6104076
406	682.409602
407	682.2425935
408	682.0647508
409	681.8745241
410	681.7241326
411	681.6152516
412	681.413325
413	681.2691979
414	681.1679705
415	680.9730596
416	680.7353727
417	680.5624645
418	680.3473228
419	680.1999909
420	680.0255118
421	679.7397721
422	679.5234683
423	679.3051134
424	679.0915605
425	678.9850129
426	678.7620929
427	678.5975335
428	678.417295
429	678.2076216
430	678.0764925
431	677.9966329
432	677.7580189
433	677.5582363
434	677.3538734
435	677.1322624
436	676.883003
437	676.7405542
438	676.6406416
439	676.4038802
440	676.2592841
441	676.1192893
442	675.9134616
443	675.8262793
444	675.662427
445	675.5596802
446	675.4182786
447	675.2122992
448	674.9898823
449	674.7169355
450	674.5121532
451	674.3183766
452	674.143945
453	673.8775072
454	673.7006211
455	673.6068949
456	673.3829259
457	673.1683328
458	673.0073872
459	672.8041269
460	672.6687381
461	672.5633212
462	672.406972
463	672.270136
464	672.0417744
465	671.837632
466	671.5750416
467	671.4070255
468	671.2618608
469	671.06246
470	670.9463283
471	670.7384003
472	670.5412942
473	670.2954721
474	670.178298
475	670.011138
476	669.8071817
477	669.6812796
478	669.5501963
479	669.3806702
480	669.2290542
481	669.0432609
482	668.9085315
483	668.7627256
484	668.6438574
485	668.4630023
486	668.210195
487	668.0435876
488	667.9079468
489	667.6633605
490	667.4316908
491	667.2181479
492	667.0059902
493	666.8168575
494	666.5685341
495	666.5009901
496	666.3982506
497	666.2531927
498	666.1146061
499	665.9698529
500	665.80846
501	665.7007489
502	665.5117889
503	665.3609807
504	665.2768039
505	665.0635161
506	664.8573328
507	664.6965129
508	664.5837361
509	664.4404804
510	664.258553
511	664.0875054
512	663.9279496
513	663.7823578
514	663.6085767
515	663.4923884
516	663.3783305
517	663.2306726
518	663.1031981
519	662.9123076
520	662.7734404
521	662.6590609
522	662.4461556
523	662.2604299
524	662.1323174
525	662.0064356
526	661.8536675
527	661.6537737
528	661.5237666
529	661.377912
530	661.2394092
531	661.0502344
532	660.8741747
533	660.7107282
534	660.5906546
535	660.4561519
536	660.2917663
537	660.1101939
538	659.9693797
539	659.7841906
540	659.5853399
541	659.3994258
542	659.2357384
543	659.0356326
544	658.9448356
545	658.7684462
546	658.5344217
547	658.3942589
548	658.1708159
549	657.9647438
550	657.8364218
551	657.7663612
552	657.6214727
553	657.5217337
554	657.3861074
555	657.2257722
556	657.082626
557	656.9808778
558	656.8077567
559	656.6432284
560	656.5416091
561	656.4182161
562	656.1108418
563	655.9662082
564	655.8973836
565	655.7201544
566	655.6100216
567	655.4141118
568	655.1640757
569	655.078423
570	655.0275622
571	654.895392
572	654.6581031
573	654.4668525
574	654.4019467
575	654.2464651
576	654.0914495
577	653.99551
578	653.8663956
579	653.689064
580	653.4608445
581	653.3732902
582	653.2389221
583	653.0529539
584	652.8489973
585	652.7682867
586	652.6860922
587	652.5560667
588	652.3894612
589	652.2653425
590	652.0931393
591	651.9622489
592	651.8131088
593	651.7258066
594	651.6100263
595	651.4427284
596	651.2671991
597	651.0730884
598	650.9272848
599	650.8261983
600	650.7009378
601	650.5801081
602	650.3620869
603	650.1505892
604	650.0659365
605	649.9345911
606	649.8322767
607	649.6665856
608	649.4937461
609	649.3968271
610	649.2409154
611	649.1225168
612	648.9514971
613	648.8206089
614	648.667501
615	648.59525
616	648.3756785
617	648.1998165
618	648.0313848
619	647.8406434
620	647.7240238
621	647.5447727
622	647.3670729
623	647.2963672
624	647.1377712
625	646.9728275
626	646.8528278
627	646.6779383
628	646.5465725
629	646.3750473
630	646.2269163
631	646.101084
632	645.8593481
633	645.6614711
634	645.5574392
635	645.3931399
636	645.2656221
637	645.1090524
638	644.9745045
639	644.7719948
640	644.6486851
641	644.4980044
642	644.4101198
643	644.223417
644	644.1560053
645	644.0643367
646	643.901176
647	643.6543509
648	643.4616286
649	643.2387774
650	643.1301235
651	642.9687116
652	642.8202816
653	642.6615461
654	642.4761719
655	642.3308338
656	642.2170746
657	642.03699
658	641.8423365
659	641.8081989
660	641.6416252
661	641.5145248
662	641.3366977
663	641.2142859
664	641.0596717
665	640.9021746
666	640.7175119
667	640.6170202
668	640.423887
669	640.3663937
670	640.2093635
671	640.0649721
672	639.9145293
673	639.7766016
674	639.6767139
675	639.4934943
676	639.376122
677	639.2470449
678	639.0808453
679	638.9702094
680	638.7710116
681	638.5465579
682	638.4577458
683	638.3290456
684	638.2111298
685	638.0850108
686	637.9730047
687	637.8660622
688	637.7454881
689	637.5863593
690	637.4327265
691	637.2900705
692	637.1617897
693	637.0162585
694	636.9695949
695	636.8631654
696	636.7495884
697	636.5937918
698	636.4626748
699	636.3315004
700	636.2454142
701	636.1030701
702	636.0084298
703	635.8754
704	635.7519445
705	635.6286461
706	635.4944091
707	635.3618447
708	635.2056647
709	635.0439049
710	634.998526
711	634.8459561
712	634.6939056
713	634.5621905
714	634.3862608
715	634.2717574
716	634.1473102
717	634.044981
718	633.9108445
719	633.7765426
720	633.6330804
721	633.5136883
722	633.4044198
723	633.3140364
724	633.1088426
725	632.9977269
726	632.8027466
727	632.6380839
728	632.5343185
729	632.3488779
730	632.1909029
731	631.9824983
732	631.8266955
733	631.7129128
734	631.5755637
735	631.3960853
736	631.2986295
737	631.2440791
738	631.1412981
739	631.0376057
740	630.9174409
741	630.7145227
742	630.5310232
743	630.3020995
744	630.1545803
745	630.0539356
746	629.8578148
747	629.6730833
748	629.5821295
749	629.4432448
750	629.3097678
751	629.1487463
752	629.0427762
753	628.9541211
754	628.8639997
755	628.7558618
756	628.6288684
757	628.4666108
758	628.4346998
759	628.2635998
760	628.1796385
761	628.0816511
762	627.9353886
763	627.8235587
764	627.7436876
765	627.5634132
766	627.4403461
767	627.3390053
768	627.2550257
769	627.1400942
770	626.9858472
771	626.9252652
772	626.7250603
773	626.529769
774	626.4270076
775	626.315598
776	626.1770931
777	626.039755
778	625.8815582
779	625.700545
780	625.6243802
781	625.5225837
782	625.3835164
783	625.2445365
784	625.0964386
785	625.003239
786	624.9373541
787	624.6875391
788	624.5580757
789	624.3675701
790	624.2423243
791	624.1478473
792	623.9983925
793	623.8858647
794	623.7743063
795	623.643678
796	623.5293782
797	623.407034
798	623.2342076
799	623.1054919
800	622.9891682
801	622.8176236
802	622.6517157
803	622.5347634
804	622.4383952
805	622.3560742
806	622.2688055
807	622.1205067
808	621.936697
809	621.8248094
810	621.6744974
811	621.5332238
812	621.3994618
813	621.303317
814	621.2251541
815	621.1175594
816	620.9819865
817	620.8457457
818	620.7875585
819	620.7005654
820	620.5999036
821	620.4801048
822	620.4013532
823	620.2435282
824	620.0891116
825	619.8700881
826	619.8052924
827	619.6112641
828	619.4699527
829	619.332319
830	619.2321727
831	619.1077495
832	618.9789248
833	618.8518398
834	618.7386772
835	618.5970817
836	618.466615
837	618.3018731
838	618.1338841
839	617.9955481
840	617.9034191
841	617.7244833
842	617.629197
843	617.5685346
844	617.4384586
845	617.3338078
846	617.2524861
847	617.1100876
848	616.9978587
849	616.9026738
850	616.7283768
851	616.5787197
852	616.4634893
853	616.2617726
854	616.1271385
855	615.9701717
856	615.8468871
857	615.7180407
858	615.5446028
859	615.4434074
860	615.3136119
861	615.1849849
862	615.0726956
863	614.9435997
864	614.789512
865	614.6485832
866	614.5311988
867	614.4142399
868	614.2802162
869	614.1603519
870	614.0047497
871	613.8655674
872	613.6962731
873	613.5683921
874	613.3696794
875	613.1175012
876	612.9529993
877	612.7777387
878	612.7378079
879	612.6242014
880	612.4820555
881	612.2817965
882	612.1543814
883	612.0435929
884	611.9486858
885	611.8492411
886	611.7348998
887	611.5919785
888	611.494731
889	611.3933545
890	611.2871977
891	611.1970698
892	611.1080476
893	610.9832015
894	610.8939248
895	610.8108674
896	610.7189662
897	610.612589
898	610.4289551
899	610.2711652
900	610.1630507
901	609.9894001
902	609.8383596
903	609.6831462
904	609.5600723
905	609.3924187
906	609.2898924
907	609.1748952
908	609.072856
909	608.9478101
910	608.8204951
911	608.7993679
912	608.6989243
913	608.5764974
914	608.4746027
915	608.3892938
916	608.1689284
917	608.0527567
918	607.9465779
919	607.8272238
920	607.7046119
921	607.5864514
922	607.4252109
923	607.319345
924	607.2239513
925	607.1607892
926	607.0145716
927	606.9570713
928	606.789861
929	606.7373349
930	606.6463893
931	606.543397
932	606.4279394
933	606.2957136
934	606.2196443
935	606.1441117
936	606.0065962
937	605.9179349
938	605.7909662
939	605.6964372
940	605.5416221
941	605.3955778
942	605.2678943
943	605.181666
944	605.093812
945	604.9939355
946	604.9240752
947	604.7820097
948	604.6870654
949	604.5789506
950	604.4429783
951	604.3611322
952	604.294415
953	604.1401361
954	604.0092227
955	603.9280126
956	603.7992729
957	603.7413448
958	603.698842
959	603.5117016
960	603.3471589
961	603.2423506
962	603.177916
963	603.0392175
964	602.9643516
965	602.8927954
966	602.7805014
967	602.6616157
968	602.6114231
969	602.4645733
970	602.3140666
971	602.198651
972	602.0894825
973	601.9362569
974	601.8307607
975	601.7719713
976	601.6533226
977	601.5119487
978	601.4149268
979	601.330489
980	601.1271115
