iter	Passed	Remaining
0	13	13830
1	19	9625
2	25	8616
3	30	7677
4	35	7064
5	42	7094
6	55	7938
7	67	8376
8	72	7941
9	78	7727
10	83	7546
11	88	7280
12	98	7495
13	107	7540
14	115	7616
15	125	7715
16	146	8460
17	153	8368
18	166	8573
19	172	8474
20	179	8379
21	184	8192
22	192	8194
23	197	8023
24	202	7881
25	211	7935
26	216	7791
27	226	7876
28	231	7764
29	239	7739
30	245	7670
31	251	7608
32	260	7619
33	264	7514
34	270	7463
35	276	7394
36	280	7303
37	287	7267
38	292	7200
39	296	7120
40	303	7101
41	308	7043
42	313	6985
43	321	6977
44	325	6907
45	331	6882
46	340	6902
47	344	6841
48	350	6795
49	356	6776
50	361	6718
51	368	6717
52	373	6667
53	378	6624
54	384	6601
55	389	6561
56	393	6513
57	401	6517
58	406	6476
59	410	6431
60	417	6430
61	424	6415
62	433	6442
63	438	6406
64	443	6385
65	452	6399
66	456	6362
67	461	6319
68	468	6318
69	472	6278
70	476	6240
71	485	6263
72	498	6331
73	515	6456
74	524	6469
75	544	6618
76	560	6718
77	568	6719
78	575	6707
79	591	6796
80	599	6805
81	604	6764
82	608	6727
83	619	6750
84	624	6723
85	635	6754
86	644	6762
87	651	6747
88	655	6712
89	665	6724
90	669	6687
91	674	6653
92	681	6649
93	688	6632
94	695	6629
95	700	6597
96	705	6565
97	713	6562
98	717	6530
99	722	6502
100	729	6492
101	738	6498
102	744	6486
103	751	6473
104	755	6441
105	763	6439
106	767	6408
107	772	6378
108	781	6386
109	785	6358
110	792	6349
111	797	6324
112	802	6296
113	809	6293
114	814	6266
115	819	6243
116	827	6246
117	833	6230
118	840	6225
119	847	6217
120	857	6231
121	863	6211
122	867	6186
123	877	6199
124	881	6173
125	886	6147
126	892	6137
127	897	6112
128	901	6088
129	909	6088
130	914	6064
131	918	6040
132	926	6040
133	932	6025
134	940	6028
135	945	6008
136	954	6010
137	959	5993
138	964	5973
139	972	5975
140	982	5985
141	992	5999
142	1000	5993
143	1011	6015
144	1022	6026
145	1027	6011
146	1039	6031
147	1048	6035
148	1061	6062
149	1072	6075
150	1077	6058
151	1082	6041
152	1091	6041
153	1097	6031
154	1106	6034
155	1112	6018
156	1123	6031
157	1132	6034
158	1146	6064
159	1160	6092
160	1174	6120
161	1184	6126
162	1194	6131
163	1205	6144
164	1210	6126
165	1219	6128
166	1227	6120
167	1235	6119
168	1248	6139
169	1260	6152
170	1269	6156
171	1277	6147
172	1286	6151
173	1294	6143
174	1303	6143
175	1309	6130
176	1321	6145
177	1326	6126
178	1341	6154
179	1355	6174
180	1364	6175
181	1372	6166
182	1377	6151
183	1384	6140
184	1391	6131
185	1402	6138
186	1408	6124
187	1417	6122
188	1424	6112
189	1436	6124
190	1444	6119
191	1455	6123
192	1466	6129
193	1471	6114
194	1478	6104
195	1487	6102
196	1496	6099
197	1502	6084
198	1508	6073
199	1518	6073
200	1523	6054
201	1534	6061
202	1540	6049
203	1554	6063
204	1561	6056
205	1567	6041
206	1576	6039
207	1582	6026
208	1591	6022
209	1599	6017
210	1604	5998
211	1614	6001
212	1619	5982
213	1627	5977
214	1633	5965
215	1643	5966
216	1649	5951
217	1658	5949
218	1662	5930
219	1667	5912
220	1675	5905
221	1680	5888
222	1685	5871
223	1692	5862
224	1697	5845
225	1703	5835
226	1713	5835
227	1718	5819
228	1725	5809
229	1732	5799
230	1742	5800
231	1749	5792
232	1759	5793
233	1764	5776
234	1773	5772
235	1777	5755
236	1782	5737
237	1790	5732
238	1795	5716
239	1801	5705
240	1806	5689
241	1811	5672
242	1817	5660
243	1823	5649
244	1828	5633
245	1834	5621
246	1841	5612
247	1846	5599
248	1855	5597
249	1861	5583
250	1868	5576
251	1873	5560
252	1877	5544
253	1885	5537
254	1889	5521
255	1894	5506
256	1903	5503
257	1908	5487
258	1912	5470
259	1919	5463
260	1924	5449
261	1930	5437
262	1936	5426
263	1943	5417
264	1952	5415
265	1959	5407
266	1968	5403
267	1973	5388
268	1979	5378
269	1984	5366
270	1989	5351
271	1995	5341
272	2001	5328
273	2005	5314
274	2012	5304
275	2017	5291
276	2022	5278
277	2030	5272
278	2036	5263
279	2049	5268
280	2057	5264
281	2066	5261
282	2081	5273
283	2091	5273
284	2100	5270
285	2110	5268
286	2118	5262
287	2130	5266
288	2135	5254
289	2145	5252
290	2150	5240
291	2155	5225
292	2163	5220
293	2168	5207
294	2173	5195
295	2180	5184
296	2184	5171
297	2190	5160
298	2196	5150
299	2201	5136
300	2208	5128
301	2213	5115
302	2217	5101
303	2225	5094
304	2231	5085
305	2237	5073
306	2247	5073
307	2252	5061
308	2259	5053
309	2264	5040
310	2268	5026
311	2276	5019
312	2280	5005
313	2285	4992
314	2292	4986
315	2297	4973
316	2304	4965
317	2309	4953
318	2314	4940
319	2319	4928
320	2325	4919
321	2330	4906
322	2336	4897
323	2344	4890
324	2349	4880
325	2359	4877
326	2363	4864
327	2370	4856
328	2375	4845
329	2379	4832
330	2387	4825
331	2394	4817
332	2398	4804
333	2406	4798
334	2410	4785
335	2415	4772
336	2423	4768
337	2428	4756
338	2435	4749
339	2441	4739
340	2447	4729
341	2456	4726
342	2460	4713
343	2468	4707
344	2474	4698
345	2478	4685
346	2487	4681
347	2492	4669
348	2496	4656
349	2504	4652
350	2509	4640
351	2516	4633
352	2522	4623
353	2526	4611
354	2535	4606
355	2541	4598
356	2552	4596
357	2556	4585
358	2561	4573
359	2572	4573
360	2577	4561
361	2585	4556
362	2590	4545
363	2597	4537
364	2602	4527
365	2607	4515
366	2612	4506
367	2618	4496
368	2622	4485
369	2628	4475
370	2634	4466
371	2638	4454
372	2648	4451
373	2653	4440
374	2657	4429
375	2665	4423
376	2670	4412
377	2674	4400
378	2680	4392
379	2685	4381
380	2689	4370
381	2696	4362
382	2701	4351
383	2705	4340
384	2714	4335
385	2720	4327
386	2728	4321
387	2732	4310
388	2737	4299
389	2744	4293
390	2752	4287
391	2762	4285
392	2767	4275
393	2773	4265
394	2780	4258
395	2785	4248
396	2791	4240
397	2796	4230
398	2801	4219
399	2807	4211
400	2813	4202
401	2817	4191
402	2823	4183
403	2829	4173
404	2833	4163
405	2840	4155
406	2847	4148
407	2852	4139
408	2861	4134
409	2865	4124
410	2870	4113
411	2877	4107
412	2883	4098
413	2891	4093
414	2896	4082
415	2900	4072
416	2908	4065
417	2912	4055
418	2917	4044
419	2923	4037
420	2928	4028
421	2933	4017
422	2943	4015
423	2951	4009
424	2959	4003
425	2963	3993
426	2969	3985
427	2975	3976
428	2979	3966
429	2986	3959
430	2991	3949
431	2996	3939
432	3002	3931
433	3007	3922
434	3012	3912
435	3018	3904
436	3025	3897
437	3030	3887
438	3038	3882
439	3044	3874
440	3055	3873
441	3065	3869
442	3071	3862
443	3076	3852
444	3081	3843
445	3087	3835
446	3092	3825
447	3098	3817
448	3103	3809
449	3109	3800
450	3123	3802
451	3134	3800
452	3152	3806
453	3157	3797
454	3166	3792
455	3172	3784
456	3182	3781
457	3190	3775
458	3198	3769
459	3204	3761
460	3209	3753
461	3217	3746
462	3221	3736
463	3226	3727
464	3233	3720
465	3238	3711
466	3246	3705
467	3256	3701
468	3262	3693
469	3269	3686
470	3273	3676
471	3281	3671
472	3286	3661
473	3290	3651
474	3298	3645
475	3302	3635
476	3307	3626
477	3315	3621
478	3320	3611
479	3325	3602
480	3331	3594
481	3336	3585
482	3342	3578
483	3350	3572
484	3355	3562
485	3365	3559
486	3371	3551
487	3378	3544
488	3383	3535
489	3387	3525
490	3396	3520
491	3404	3515
492	3413	3510
493	3418	3501
494	3429	3498
495	3435	3491
496	3443	3485
497	3450	3477
498	3461	3475
499	3468	3468
500	3479	3465
501	3485	3457
502	3493	3451
503	3499	3443
504	3509	3439
505	3516	3433
506	3524	3427
